team name,roster,league,division,team payroll,  w,  l,wpct,rank,lgrk,mlb rk,last yr payroll,top salary
Los Angeles Dodgers,team roster,NL,West,"230,352,402",92,70,0.568,1,4,6,"235,295,219",Clayton Kershaw (1)
New York Yankees,team roster,AL,East,"213,472,857",87,75,0.537,2,4,9,"203,812,506",Mark Teixeira (11)
Washington Nationals,team roster,NL,East,"174,510,977",83,79,0.512,2,7,13,"134,704,437",Jayson Werth (19)
Detroit Tigers,team roster,AL,Central,"172,792,250",74,87,0.46,5,14,22,"162,228,527",Justin Verlander (2)
Boston Red Sox,team roster,AL,East,"168,691,914",78,84,0.481,5,11,19,"162,817,411",Hanley Ramirez (27)
San Francisco Giants,team roster,NL,West,"166,495,942",84,78,0.519,2,6,12,"154,185,878",Matt Cain (23)
Los Angeles Angels,team roster,AL,West,"146,449,583",85,77,0.525,3,6,11,"155,692,000",Albert Pujols (7)
Texas Rangers,team roster,AL,West,"144,816,873",88,74,0.543,1,3,8,"136,036,172",Josh Hamilton (4)
Philadelphia Phillies,team roster,NL,East,"133,048,000",63,99,0.389,5,15,30,"180,052,723",Ryan Howard (4)
San Diego Padres,team roster,NL,West,"126,619,628",74,88,0.457,4,9,23,"90,094,196",Matt Kemp (21)
Seattle Mariners,team roster,AL,West,"123,225,842",76,86,0.469,4,12,20,"92,081,943",Felix Hernandez (6)
St. Louis Cardinals,team roster,NL,Central,"120,301,957",100,62,0.617,1,1,1,"111,020,360",Adam Wainwright (29)
Baltimore Orioles,team roster,AL,East,"118,862,632",81,81,0.5,3,9,16,"107,406,623",Adam Jones (67)
Cincinnati Reds,team roster,NL,Central,"117,732,284",64,98,0.395,5,14,29,"112,390,772",Joey Votto (58)
Chicago Cubs,team roster,NL,Central,"117,164,522",97,65,0.599,3,3,3,"89,007,857",Jon Lester (24)
Toronto Blue Jays,team roster,AL,East,"116,415,800",93,69,0.574,1,2,5,"132,628,700",Jose Reyes (14)
Kansas City Royals,team roster,AL,Central,"112,914,525",95,67,0.586,1,1,4,"92,034,345",Alex Gordon (64)
Chicago White Sox,team roster,AL,Central,"110,712,866",76,86,0.469,4,13,21,"91,159,254",John Danks (49)
Minnesota Twins,team roster,AL,Central,"108,262,000",83,79,0.512,2,7,14,"85,776,500",Joe Mauer (12)
New York Mets,team roster,NL,East,"100,133,953",90,72,0.556,1,5,7,"89,051,758",David Wright (30)
Milwaukee Brewers,team roster,NL,Central,"98,683,035",68,94,0.42,4,11,25,"103,844,806",Aramis Ramirez (58)
Colorado Rockies,team roster,NL,West,"98,261,171",68,94,0.42,5,12,26,"95,832,071",Troy Tulowitzki (24)
Atlanta Braves,team roster,NL,East,"89,622,648",67,95,0.414,4,13,28,"110,897,341",Trevor Cahill (84)
Cleveland Indians,team roster,AL,Central,"87,746,766",81,80,0.503,3,8,15,"82,534,800",Nick Swisher (53)
Pittsburgh Pirates,team roster,NL,Central,"85,885,832",98,64,0.605,2,2,2,"78,111,667",Francisco Liriano (96)
Miami Marlins,team roster,NL,East,"84,637,500",71,91,0.438,3,10,24,"47,565,400",Martin Prado (102)
Oakland Athletics,team roster,AL,West,"80,786,666",68,94,0.42,5,15,27,"83,401,400",Scott Kazmir (71)
Tampa Bay Rays,team roster,AL,East,"74,849,584",80,82,0.494,4,10,17,"77,062,891",Evan Longoria (97)
Houston Astros,team roster,AL,West,"69,064,200",86,76,0.531,2,5,10,"44,544,174",Scott Feldman (113)
Arizona Diamondbacks,team roster,NL,West,"65,770,333",79,83,0.488,3,8,18,"112,688,666",Aaron Hill (88)
